id,scenario,expected_fraud,predicted_fraud,expected_rule,detected_rules,risk_score,accepted
SYN-0001,valid,false,false,,,0,true
SYN-0002,valid,false,false,,,0,true
SYN-0003,valid,false,false,,,0,true
SYN-0004,valid,false,false,,,0,true
SYN-0005,valid,false,false,,,0,true
SYN-0006,valid,false,false,,,0,true
SYN-0007,valid,false,false,,,0,true
SYN-0008,valid,false,false,,,0,true
SYN-0009,valid,false,false,,,0,true
SYN-0010,valid,false,false,,,0,true
SYN-0011,valid,false,false,,,0,true
SYN-0012,valid,false,false,,,0,true
SYN-0013,valid,false,false,,,0,true
SYN-0014,valid,false,false,,,0,true
SYN-0015,valid,false,false,,,0,true
SYN-0016,valid,false,false,,,0,true
SYN-0017,valid,false,false,,,0,true
SYN-0018,valid,false,false,,,0,true
SYN-0019,valid,false,false,,,0,true
SYN-0020,valid,false,false,,,0,true
SYN-0021,valid,false,false,,,0,true
SYN-0022,valid,false,false,,,0,true
SYN-0023,valid,false,false,,,0,true
SYN-0024,valid,false,false,,,0,true
SYN-0025,valid,false,false,,,0,true
SYN-0026,valid,false,false,,,0,true
SYN-0027,valid,false,false,,,0,true
SYN-0028,valid,false,false,,,0,true
SYN-0029,valid,false,false,,,0,true
SYN-0030,valid,false,false,,,0,true
SYN-0031,valid,false,false,,,0,true
SYN-0032,valid,false,false,,,0,true
SYN-0033,valid,false,false,,,0,true
SYN-0034,valid,false,false,,,0,true
SYN-0035,valid,false,false,,,0,true
SYN-0036,valid,false,false,,,0,true
SYN-0037,valid,false,false,,,0,true
SYN-0038,valid,false,false,,,0,true
SYN-0039,valid,false,false,,,0,true
SYN-0040,valid,false,false,,,0,true
SYN-0041,valid,false,false,,,0,true
SYN-0042,valid,false,false,,,0,true
SYN-0043,valid,false,false,,,0,true
SYN-0044,valid,false,false,,,0,true
SYN-0045,valid,false,false,,,0,true
SYN-0046,valid,false,false,,,0,true
SYN-0047,valid,false,false,,,0,true
SYN-0048,valid,false,false,,,0,true
SYN-0049,valid,false,false,,,0,true
SYN-0050,valid,false,false,,,0,true
SYN-0051,valid,false,false,,,0,true
SYN-0052,valid,false,false,,,0,true
SYN-0053,valid,false,false,,,0,true
SYN-0054,valid,false,false,,,0,true
SYN-0055,valid,false,false,,,0,true
SYN-0056,valid,false,false,,,0,true
SYN-0057,valid,false,false,,,0,true
SYN-0058,valid,false,false,,,0,true
SYN-0059,valid,false,false,,,0,true
SYN-0060,valid,false,false,,,0,true
SYN-0061,valid,false,false,,,0,true
SYN-0062,valid,false,false,,,0,true
SYN-0063,valid,false,false,,,0,true
SYN-0064,valid,false,false,,,0,true
SYN-0065,valid,false,false,,,0,true
SYN-0066,valid,false,false,,,0,true
SYN-0067,valid,false,false,,,0,true
SYN-0068,valid,false,false,,,0,true
SYN-0069,valid,false,false,,,0,true
SYN-0070,valid,false,false,,,0,true
SYN-0071,valid,false,false,,,0,true
SYN-0072,valid,false,false,,,0,true
SYN-0073,valid,false,false,,,0,true
SYN-0074,valid,false,false,,,0,true
SYN-0075,valid,false,false,,,0,true
SYN-0076,valid,false,false,,,0,true
SYN-0077,valid,false,false,,,0,true
SYN-0078,valid,false,false,,,0,true
SYN-0079,valid,false,false,,,0,true
SYN-0080,valid,false,false,,,0,true
SYN-0081,valid,false,false,,,0,true
SYN-0082,valid,false,false,,,0,true
SYN-0083,valid,false,false,,,0,true
SYN-0084,valid,false,false,,,0,true
SYN-0085,valid,false,false,,,0,true
SYN-0086,valid,false,false,,,0,true
SYN-0087,valid,false,false,,,0,true
SYN-0088,valid,false,false,,,0,true
SYN-0089,valid,false,false,,,0,true
SYN-0090,valid,false,false,,,0,true
SYN-0091,valid,false,false,,,0,true
SYN-0092,valid,false,false,,,0,true
SYN-0093,valid,false,false,,,0,true
SYN-0094,valid,false,false,,,0,true
SYN-0095,valid,false,false,,,0,true
SYN-0096,valid,false,false,,,0,true
SYN-0097,valid,false,false,,,0,true
SYN-0098,valid,false,false,,,0,true
SYN-0099,valid,false,false,,,0,true
SYN-0100,valid,false,false,,,0,true
SYN-0101,valid,false,false,,,0,true
SYN-0102,valid,false,false,,,0,true
SYN-0103,valid,false,false,,,0,true
SYN-0104,valid,false,false,,,0,true
SYN-0105,valid,false,false,,,0,true
SYN-0106,valid,false,false,,,0,true
SYN-0107,valid,false,false,,,0,true
SYN-0108,valid,false,false,,,0,true
SYN-0109,valid,false,false,,,0,true
SYN-0110,valid,false,false,,,0,true
SYN-0111,valid,false,false,,,0,true
SYN-0112,valid,false,false,,,0,true
SYN-0113,valid,false,false,,,0,true
SYN-0114,valid,false,false,,,0,true
SYN-0115,valid,false,false,,,0,true
SYN-0116,valid,false,false,,,0,true
SYN-0117,valid,false,false,,,0,true
SYN-0118,valid,false,false,,,0,true
SYN-0119,valid,false,false,,,0,true
SYN-0120,valid,false,false,,,0,true
SYN-0121,valid,false,false,,,0,true
SYN-0122,valid,false,false,,,0,true
SYN-0123,valid,false,false,,,0,true
SYN-0124,valid,false,false,,,0,true
SYN-0125,valid,false,false,,,0,true
SYN-0126,valid,false,false,,,0,true
SYN-0127,valid,false,false,,,0,true
SYN-0128,valid,false,false,,,0,true
SYN-0129,valid,false,false,,,0,true
SYN-0130,valid,false,false,,,0,true
SYN-0131,valid,false,false,,,0,true
SYN-0132,valid,false,false,,,0,true
SYN-0133,valid,false,false,,,0,true
SYN-0134,valid,false,false,,,0,true
SYN-0135,valid,false,false,,,0,true
SYN-0136,valid,false,false,,,0,true
SYN-0137,valid,false,false,,,0,true
SYN-0138,valid,false,false,,,0,true
SYN-0139,valid,false,false,,,0,true
SYN-0140,valid,false,false,,,0,true
SYN-0141,valid,false,false,,,0,true
SYN-0142,valid,false,false,,,0,true
SYN-0143,valid,false,false,,,0,true
SYN-0144,valid,false,false,,,0,true
SYN-0145,valid,false,false,,,0,true
SYN-0146,valid,false,false,,,0,true
SYN-0147,valid,false,false,,,0,true
SYN-0148,valid,false,false,,,0,true
SYN-0149,valid,false,false,,,0,true
SYN-0150,valid,false,false,,,0,true
SYN-0151,valid,false,false,,,0,true
SYN-0152,valid,false,false,,,0,true
SYN-0153,valid,false,false,,,0,true
SYN-0154,valid,false,false,,,0,true
SYN-0155,valid,false,false,,,0,true
SYN-0156,valid,false,false,,,0,true
SYN-0157,valid,false,false,,,0,true
SYN-0158,valid,false,false,,,0,true
SYN-0159,valid,false,false,,,0,true
SYN-0160,valid,false,false,,,0,true
SYN-0161,valid,false,false,,,0,true
SYN-0162,valid,false,false,,,0,true
SYN-0163,valid,false,false,,,0,true
SYN-0164,valid,false,false,,,0,true
SYN-0165,valid,false,false,,,0,true
SYN-0166,valid,false,false,,,0,true
SYN-0167,valid,false,false,,,0,true
SYN-0168,valid,false,false,,,0,true
SYN-0169,valid,false,false,,,0,true
SYN-0170,valid,false,false,,,0,true
SYN-0171,valid,false,false,,,0,true
SYN-0172,valid,false,false,,,0,true
SYN-0173,valid,false,false,,,0,true
SYN-0174,valid,false,false,,,0,true
SYN-0175,valid,false,false,,,0,true
SYN-0176,valid,false,false,,,0,true
SYN-0177,valid,false,false,,,0,true
SYN-0178,valid,false,false,,,0,true
SYN-0179,valid,false,false,,,0,true
SYN-0180,valid,false,false,,,0,true
SYN-0181,valid,false,false,,,0,true
SYN-0182,valid,false,false,,,0,true
SYN-0183,valid,false,false,,,0,true
SYN-0184,valid,false,false,,,0,true
SYN-0185,valid,false,false,,,0,true
SYN-0186,valid,false,false,,,0,true
SYN-0187,valid,false,false,,,0,true
SYN-0188,valid,false,false,,,0,true
SYN-0189,valid,false,false,,,0,true
SYN-0190,valid,false,false,,,0,true
SYN-0191,valid,false,false,,,0,true
SYN-0192,valid,false,false,,,0,true
SYN-0193,valid,false,false,,,0,true
SYN-0194,valid,false,false,,,0,true
SYN-0195,valid,false,false,,,0,true
SYN-0196,valid,false,false,,,0,true
SYN-0197,valid,false,false,,,0,true
SYN-0198,valid,false,false,,,0,true
SYN-0199,valid,false,false,,,0,true
SYN-0200,valid,false,false,,,0,true
SYN-0201,valid,false,false,,,0,true
SYN-0202,valid,false,false,,,0,true
SYN-0203,valid,false,false,,,0,true
SYN-0204,valid,false,false,,,0,true
SYN-0205,valid,false,false,,,0,true
SYN-0206,valid,false,false,,,0,true
SYN-0207,valid,false,false,,,0,true
SYN-0208,valid,false,false,,,0,true
SYN-0209,valid,false,false,,,0,true
SYN-0210,valid,false,false,,,0,true
SYN-0211,valid,false,false,,,0,true
SYN-0212,valid,false,false,,,0,true
SYN-0213,valid,false,false,,,0,true
SYN-0214,valid,false,false,,,0,true
SYN-0215,valid,false,false,,,0,true
SYN-0216,valid,false,false,,,0,true
SYN-0217,valid,false,false,,,0,true
SYN-0218,valid,false,false,,,0,true
SYN-0219,valid,false,false,,,0,true
SYN-0220,valid,false,false,,,0,true
SYN-0221,valid,false,false,,,0,true
SYN-0222,valid,false,false,,,0,true
SYN-0223,valid,false,false,,,0,true
SYN-0224,valid,false,false,,,0,true
SYN-0225,valid,false,false,,,0,true
SYN-0226,valid,false,false,,,0,true
SYN-0227,valid,false,false,,,0,true
SYN-0228,valid,false,false,,,0,true
SYN-0229,valid,false,false,,,0,true
SYN-0230,valid,false,false,,,0,true
SYN-0231,valid,false,false,,,0,true
SYN-0232,valid,false,false,,,0,true
SYN-0233,valid,false,false,,,0,true
SYN-0234,valid,false,false,,,0,true
SYN-0235,valid,false,false,,,0,true
SYN-0236,valid,false,false,,,0,true
SYN-0237,valid,false,false,,,0,true
SYN-0238,valid,false,false,,,0,true
SYN-0239,valid,false,false,,,0,true
SYN-0240,valid,false,false,,,0,true
SYN-0241,valid,false,false,,,0,true
SYN-0242,valid,false,false,,,0,true
SYN-0243,valid,false,false,,,0,true
SYN-0244,valid,false,false,,,0,true
SYN-0245,valid,false,false,,,0,true
SYN-0246,valid,false,false,,,0,true
SYN-0247,valid,false,false,,,0,true
SYN-0248,valid,false,false,,,0,true
SYN-0249,valid,false,false,,,0,true
SYN-0250,valid,false,false,,,0,true
SYN-0251,valid,false,false,,,0,true
SYN-0252,valid,false,false,,,0,true
SYN-0253,valid,false,false,,,0,true
SYN-0254,valid,false,false,,,0,true
SYN-0255,valid,false,false,,,0,true
SYN-0256,valid,false,false,,,0,true
SYN-0257,valid,false,false,,,0,true
SYN-0258,valid,false,false,,,0,true
SYN-0259,valid,false,false,,,0,true
SYN-0260,valid,false,false,,,0,true
SYN-0261,valid,false,false,,,0,true
SYN-0262,valid,false,false,,,0,true
SYN-0263,valid,false,false,,,0,true
SYN-0264,valid,false,false,,,0,true
SYN-0265,valid,false,false,,,0,true
SYN-0266,valid,false,false,,,0,true
SYN-0267,valid,false,false,,,0,true
SYN-0268,valid,false,false,,,0,true
SYN-0269,valid,false,false,,,0,true
SYN-0270,valid,false,false,,,0,true
SYN-0271,valid,false,false,,,0,true
SYN-0272,valid,false,false,,,0,true
SYN-0273,valid,false,false,,,0,true
SYN-0274,valid,false,false,,,0,true
SYN-0275,valid,false,false,,,0,true
SYN-0276,valid,false,false,,,0,true
SYN-0277,valid,false,false,,,0,true
SYN-0278,valid,false,false,,,0,true
SYN-0279,valid,false,false,,,0,true
SYN-0280,valid,false,false,,,0,true
SYN-0281,valid,false,false,,,0,true
SYN-0282,valid,false,false,,,0,true
SYN-0283,valid,false,false,,,0,true
SYN-0284,valid,false,false,,,0,true
SYN-0285,valid,false,false,,,0,true
SYN-0286,valid,false,false,,,0,true
SYN-0287,valid,false,false,,,0,true
SYN-0288,valid,false,false,,,0,true
SYN-0289,valid,false,false,,,0,true
SYN-0290,valid,false,false,,,0,true
SYN-0291,valid,false,false,,,0,true
SYN-0292,valid,false,false,,,0,true
SYN-0293,valid,false,false,,,0,true
SYN-0294,valid,false,false,,,0,true
SYN-0295,valid,false,false,,,0,true
SYN-0296,valid,false,false,,,0,true
SYN-0297,valid,false,false,,,0,true
SYN-0298,valid,false,false,,,0,true
SYN-0299,valid,false,false,,,0,true
SYN-0300,valid,false,false,,,0,true
SYN-0301,valid,false,false,,,0,true
SYN-0302,valid,false,false,,,0,true
SYN-0303,valid,false,false,,,0,true
SYN-0304,valid,false,false,,,0,true
SYN-0305,valid,false,false,,,0,true
SYN-0306,valid,false,false,,,0,true
SYN-0307,valid,false,false,,,0,true
SYN-0308,valid,false,false,,,0,true
SYN-0309,valid,false,false,,,0,true
SYN-0310,valid,false,false,,,0,true
SYN-0311,valid,false,false,,,0,true
SYN-0312,valid,false,false,,,0,true
SYN-0313,valid,false,false,,,0,true
SYN-0314,valid,false,false,,,0,true
SYN-0315,valid,false,false,,,0,true
SYN-0316,valid,false,false,,,0,true
SYN-0317,valid,false,false,,,0,true
SYN-0318,valid,false,false,,,0,true
SYN-0319,valid,false,false,,,0,true
SYN-0320,valid,false,false,,,0,true
SYN-0321,valid,false,false,,,0,true
SYN-0322,valid,false,false,,,0,true
SYN-0323,valid,false,false,,,0,true
SYN-0324,valid,false,false,,,0,true
SYN-0325,valid,false,false,,,0,true
SYN-0326,valid,false,false,,,0,true
SYN-0327,valid,false,false,,,0,true
SYN-0328,valid,false,false,,,0,true
